56 72
1 2 50
2 3 60
3 4 55
4 5 70
5 6 65
6 7 80
7 8 75
8 9 90
9 10 85
10 11 100
11 12 95
12 13 110
13 14 105
14 15 120
15 16 115
16 17 130
17 18 125
18 19 140
19 20 135
20 21 150
21 22 145
22 23 160
23 24 155
24 25 170
25 26 165
26 27 180
27 28 175
28 29 190
29 30 185
30 31 200
31 32 195
32 33 210
33 34 205
34 35 220
35 36 215
36 37 230
37 38 225
38 39 240
39 40 235
40 41 250
41 42 245
42 43 260
43 44 255
44 45 270
45 46 265
46 47 280
47 48 275
48 49 290
49 50 285
50 51 300
51 52 295
52 53 310
53 54 305
54 55 320
55 56 315
1 3 70
2 4 65
3 5 80
4 6 75
5 7 90
6 8 85
7 9 100
8 10 95
9 11 110
10 12 105
11 13 120
12 14 115
13 15 130
14 16 125
15 17 140
16 18 135
17 19 150
